"file","model","chisq","df","cfi","tli","rmsea","srmr_bentler_nomean"
"shape_Gemma2_9b_zero_shot","agr",771.602067153787,51,0.880553615972285,0.845422326552369,0.217021137965353,0.0423538113697749
"shape_Gemma2_9b_zero_shot","con",1592.59682437727,51,0.652834755596743,0.550727330772255,0.317423947391496,0.122425913314169
"shape_Gemma2_9b_zero_shot","neu",1072.84811177997,51,0.718143984919384,0.635245156954497,0.258432695853819,0.134187496210905
"shape_Gemma2_9b_zero_shot","ope",737.946253787822,51,0.837273711909821,0.789413038942121,0.211892538707686,0.0554180396896755
"shape_Gemma2_27b_zero_shot","ext",1101.80120124606,51,0.743554521220221,0.668129380402639,0.262068344282376,0.153746368635465
"shape_Gemma2_27b_zero_shot","agr",865.382076961855,51,0.86328156363037,0.823070258815773,0.230711045963415,0.0581010046175634
"shape_Gemma2_27b_zero_shot","con",1666.87264463406,51,0.678295458714035,0.583676475982869,0.324980908904743,0.114463308431555
"shape_Gemma2_27b_zero_shot","neu",759.167298430137,51,0.838668784379012,0.791218426843427,0.215140522314693,0.0849627435343808
"shape_Gemma2_27b_zero_shot","ope",702.554765036512,51,0.861516215506318,0.820785690655236,0.206362009004943,0.0513788184681268
"shape_GPT4o_mini_zero_shot","ext",1674.00824174346,51,0.504351699840566,0.358572788028967,0.325697666630561,0.264239976097854
"shape_GPT4o_mini_zero_shot","agr",1213.07799531928,51,0.731201877822245,0.652143606593493,0.275595373966231,0.153623303664796
"shape_GPT4o_mini_zero_shot","con",1215.1141497942,51,0.613615939374749,0.499973568602617,0.275836712827375,0.200026844243708
"shape_GPT4o_mini_zero_shot","neu",856.806939545577,51,0.666813241847563,0.568817136508611,0.229493181231463,0.150550282286008
"shape_GPT4o_mini_zero_shot","ope",1464.30872030918,51,0.656348212592378,0.555274157472489,0.303929463814314,0.200889508154
"shape_GPT4o_zero_shot","ext",663.946826380876,51,0.823110880273622,0.771084668589393,0.200154650401087,0.101081802456965
"shape_GPT4o_zero_shot","agr",525.798646854798,51,0.908671921849637,0.881810722393648,0.176160697369473,0.0389515206951642
"shape_GPT4o_zero_shot","con",705.340254812988,51,0.826270348730643,0.77517339247495,0.206802652100696,0.0689845735216248
"shape_GPT4o_zero_shot","neu",960.437461646557,51,0.720400341244586,0.638165147492993,0.243803931408752,0.0993829042777735
"shape_GPT4o_zero_shot","ope",502.103853522393,51,0.877952386198893,0.842056029198568,0.171708799992684,0.0552646437815857
"shape_Llama3_8b_zero_shot","ext",553.196008790442,51,0.607221876720841,0.491698899285794,0.181171930906515,0.150997249402362
"shape_Llama3_8b_zero_shot","agr",1183.88002932076,51,0.556657100328949,0.426262129837463,0.272111091947451,0.222493580636943
"shape_Llama3_8b_zero_shot","con",987.900164365169,51,0.567855750476203,0.440754500616263,0.247457682969167,0.215498720974173
"shape_Llama3_8b_zero_shot","neu",956.345828940708,51,0.545391603884045,0.411683252085234,0.243254866335958,0.257200947258693
"shape_Llama3_8b_zero_shot","ope",825.534866756499,51,0.636995078373245,0.530228924953611,0.22499598642121,0.208664783857879
"shape_Llama3_70b_zero_shot","ext",944.452273213724,51,0.681381493965175,0.587670168660814,0.241651760623964,0.130360963290922
"shape_Llama3_70b_zero_shot","agr",884.947729752618,51,0.84091187014329,0.794121243714846,0.233466030860017,0.068622331556242
"shape_Llama3_70b_zero_shot","con",1498.09484367426,51,0.64499030175793,0.540575684627909,0.307540830348835,0.192103573902977
"shape_Llama3_70b_zero_shot","neu",808.50248902024,51,0.776123477601816,0.710277441602349,0.222508351759277,0.0986203960820745
"shape_Llama3_70b_zero_shot","ope",562.061298450461,51,0.863565582881391,0.823437813140623,0.182764053481882,0.0572798497016188
"shape_Mistral_7b_zero_shot","ext",676.094504770361,51,0.781290111808991,0.716963674105753,0.202128300801721,0.0954049915639661
"shape_Mistral_7b_zero_shot","agr",578.669414807991,51,0.802155553667246,0.743966010628201,0.18570998100876,0.101995883366312
"shape_Mistral_7b_zero_shot","con",979.589420158608,51,0.729687668689534,0.650184041833514,0.246357705307983,0.143644032315402
"shape_Mistral_7b_zero_shot","neu",557.615936419541,51,0.809786185030653,0.753840945333786,0.181967449581401,0.094861176867298
"shape_Mistral_7b_zero_shot","ope",962.242406115078,51,0.652875699835421,0.550780317434074,0.244045748164282,0.148736812211175
