"file","model","item","loading"
"psi_Llama3_70b_zero_shot","FFM","Respectfulness",0.945977605677229
"psi_Llama3_70b_zero_shot","FFM","Trust",0.835804279908617
"psi_Llama3_70b_zero_shot","FFM","Organization",0.871809736194806
"psi_Llama3_70b_zero_shot","FFM","Productiveness",0.830401893250684
"psi_Llama3_70b_zero_shot","FFM","Responsibility",0.919532502871133
"psi_Llama3_70b_zero_shot","FFM","Anxiety",0.754150557770601
"psi_Llama3_70b_zero_shot","FFM","Depression",0.875691850831654
"psi_Llama3_70b_zero_shot","FFM","Emotional_Volatility",0.851288935472446
"psi_Llama3_70b_zero_shot","FFM","Intellectual_Curiosity",0.849144347452905
"psi_Llama3_70b_zero_shot","FFM","Aesthetic_Sensitivity",0.581449089213257
"psi_Llama3_70b_zero_shot","FFM","Creative_Imagination",0.775198061040665
"psi_Mistral_7b_zero_shot","FFM","Sociability",0.758343487456511
"psi_Mistral_7b_zero_shot","FFM","Assertiveness",0.761740996917993
"psi_Mistral_7b_zero_shot","FFM","Energy_Level",0.94810108709604
"psi_Mistral_7b_zero_shot","FFM","Compassion",0.864797215707402
"psi_Mistral_7b_zero_shot","FFM","Respectfulness",0.880633090183295
"psi_Mistral_7b_zero_shot","FFM","Trust",0.898038624147723
"psi_Mistral_7b_zero_shot","FFM","Organization",0.779610633657166
"psi_Mistral_7b_zero_shot","FFM","Productiveness",0.847169371341334
"psi_Mistral_7b_zero_shot","FFM","Responsibility",0.86484871907639
"psi_Mistral_7b_zero_shot","FFM","Anxiety",0.657237115986623
"psi_Mistral_7b_zero_shot","FFM","Depression",0.960389870575524
"psi_Mistral_7b_zero_shot","FFM","Emotional_Volatility",0.812998545319985
"psi_Mistral_7b_zero_shot","FFM","Intellectual_Curiosity",0.740527220413735
"psi_Mistral_7b_zero_shot","FFM","Aesthetic_Sensitivity",0.532734042068448
"psi_Mistral_7b_zero_shot","FFM","Creative_Imagination",0.771966121442179
"shape_Gemma2_9b_zero_shot","FFM","Sociability",0.862918313188288
"shape_Gemma2_9b_zero_shot","FFM","Assertiveness",0.83509324165094
"shape_Gemma2_9b_zero_shot","FFM","Energy_Level",0.919257677817223
"shape_Gemma2_9b_zero_shot","FFM","Compassion",0.979591544705547
"shape_Gemma2_9b_zero_shot","FFM","Respectfulness",0.920775789569323
"shape_Gemma2_9b_zero_shot","FFM","Trust",0.954468113226767
"shape_Gemma2_9b_zero_shot","FFM","Organization",0.91784612834367
"shape_Gemma2_9b_zero_shot","FFM","Productiveness",0.759178005125975
"shape_Gemma2_9b_zero_shot","FFM","Responsibility",0.951786285569001
"shape_Gemma2_9b_zero_shot","FFM","Anxiety",0.817802508026386
"shape_Gemma2_9b_zero_shot","FFM","Depression",1.00999196370279
"shape_Gemma2_9b_zero_shot","FFM","Emotional_Volatility",0.730351109885434
"shape_Gemma2_9b_zero_shot","FFM","Intellectual_Curiosity",0.955635425138134
"shape_Gemma2_9b_zero_shot","FFM","Aesthetic_Sensitivity",0.935675562453278
"shape_Gemma2_9b_zero_shot","FFM","Creative_Imagination",0.874317512968343
"shape_Gemma2_27b_zero_shot","FFM","Sociability",0.883463561434156
"shape_Gemma2_27b_zero_shot","FFM","Assertiveness",0.826754105702663
"shape_Gemma2_27b_zero_shot","FFM","Energy_Level",0.948840721692151
"shape_Gemma2_27b_zero_shot","FFM","Compassion",0.999866803746899
"shape_Gemma2_27b_zero_shot","FFM","Respectfulness",0.86658603973045
"shape_Gemma2_27b_zero_shot","FFM","Trust",0.94741698819837
"shape_Gemma2_27b_zero_shot","FFM","Organization",0.912932157622493
"shape_Gemma2_27b_zero_shot","FFM","Productiveness",0.804158804333106
"shape_Gemma2_27b_zero_shot","FFM","Responsibility",0.966179042246062
"shape_Gemma2_27b_zero_shot","FFM","Anxiety",0.790327004856106
"shape_Gemma2_27b_zero_shot","FFM","Depression",1.01359524940613
"shape_Gemma2_27b_zero_shot","FFM","Emotional_Volatility",0.723944183571867
"shape_Gemma2_27b_zero_shot","FFM","Intellectual_Curiosity",0.944965273239394
"shape_Gemma2_27b_zero_shot","FFM","Aesthetic_Sensitivity",0.960288986814221
"shape_Gemma2_27b_zero_shot","FFM","Creative_Imagination",0.889201323595648
"shape_GPT4o_mini_zero_shot","FFM","Sociability",0.759101306116607
"shape_GPT4o_mini_zero_shot","FFM","Assertiveness",0.580004886056539
"shape_GPT4o_mini_zero_shot","FFM","Energy_Level",1.02804146853578
"shape_GPT4o_mini_zero_shot","FFM","Compassion",0.966993209092932
"shape_GPT4o_mini_zero_shot","FFM","Respectfulness",0.86156794350884
"shape_GPT4o_mini_zero_shot","FFM","Trust",0.935012109571564
"shape_GPT4o_mini_zero_shot","FFM","Organization",0.96112393177708
"shape_GPT4o_mini_zero_shot","FFM","Productiveness",0.863945259116008
"shape_GPT4o_mini_zero_shot","FFM","Responsibility",0.898288959852282
"shape_GPT4o_mini_zero_shot","FFM","Anxiety",0.782629603404013
"shape_GPT4o_mini_zero_shot","FFM","Depression",0.972895963784404
"shape_GPT4o_mini_zero_shot","FFM","Emotional_Volatility",0.781440162514113
"shape_GPT4o_mini_zero_shot","FFM","Intellectual_Curiosity",0.935075234620944
"shape_GPT4o_mini_zero_shot","FFM","Aesthetic_Sensitivity",0.955009101557574
"shape_GPT4o_mini_zero_shot","FFM","Creative_Imagination",0.926025428010602
"shape_GPT4o_zero_shot","FFM","Sociability",0.91162008864297
"shape_GPT4o_zero_shot","FFM","Assertiveness",0.772793882025161
"shape_GPT4o_zero_shot","FFM","Energy_Level",0.888497923228974
"shape_GPT4o_zero_shot","FFM","Compassion",0.961992725045292
"shape_GPT4o_zero_shot","FFM","Respectfulness",0.9025669881022
"shape_GPT4o_zero_shot","FFM","Trust",0.933777580152557
"shape_GPT4o_zero_shot","FFM","Organization",0.944259903641829
"shape_GPT4o_zero_shot","FFM","Productiveness",0.839630104643492
"shape_GPT4o_zero_shot","FFM","Responsibility",0.932807788458636
"shape_GPT4o_zero_shot","FFM","Anxiety",0.79939533665444
"shape_GPT4o_zero_shot","FFM","Depression",1.02349616500471
"shape_GPT4o_zero_shot","FFM","Emotional_Volatility",0.706537450216511
"shape_GPT4o_zero_shot","FFM","Intellectual_Curiosity",0.972573368321427
"shape_GPT4o_zero_shot","FFM","Aesthetic_Sensitivity",0.953130376194206
"shape_GPT4o_zero_shot","FFM","Creative_Imagination",0.904800577014774
"shape_Llama3_8b_zero_shot","FFM","Sociability",0.698266178275337
"shape_Llama3_8b_zero_shot","FFM","Assertiveness",0.865528212231934
"shape_Llama3_8b_zero_shot","FFM","Energy_Level",0.694474524093372
"shape_Llama3_8b_zero_shot","FFM","Compassion",0.93971957788578
"shape_Llama3_8b_zero_shot","FFM","Respectfulness",0.794126645977118
"shape_Llama3_8b_zero_shot","FFM","Trust",0.900912603755198
"shape_Llama3_8b_zero_shot","FFM","Organization",0.833420635510673
"shape_Llama3_8b_zero_shot","FFM","Productiveness",0.750411401571161
"shape_Llama3_8b_zero_shot","FFM","Responsibility",0.91709222564024
"shape_Llama3_8b_zero_shot","FFM","Anxiety",0.416717844380376
"shape_Llama3_8b_zero_shot","FFM","Depression",0.906236028032648
"shape_Llama3_8b_zero_shot","FFM","Emotional_Volatility",0.649656543875078
"shape_Llama3_8b_zero_shot","FFM","Intellectual_Curiosity",0.780607443003177
"shape_Llama3_8b_zero_shot","FFM","Aesthetic_Sensitivity",0.964038002193924
"shape_Llama3_8b_zero_shot","FFM","Creative_Imagination",0.784047763203175
"shape_Llama3_70b_zero_shot","FFM","Sociability",0.874475168588047
"shape_Llama3_70b_zero_shot","FFM","Assertiveness",0.736457794065697
"shape_Llama3_70b_zero_shot","FFM","Energy_Level",0.851472953867751
"shape_Llama3_70b_zero_shot","FFM","Compassion",0.991685159133214
"shape_Llama3_70b_zero_shot","FFM","Respectfulness",0.857555172368156
"shape_Llama3_70b_zero_shot","FFM","Trust",0.952390721270656
"shape_Llama3_70b_zero_shot","FFM","Organization",0.965971222580856
"shape_Llama3_70b_zero_shot","FFM","Productiveness",0.804258188495092
"shape_Llama3_70b_zero_shot","FFM","Responsibility",0.926441966925554
"shape_Llama3_70b_zero_shot","FFM","Anxiety",0.865135649126358
"shape_Llama3_70b_zero_shot","FFM","Depression",0.959339093754362
"shape_Llama3_70b_zero_shot","FFM","Emotional_Volatility",0.805069128794597
"shape_Llama3_70b_zero_shot","FFM","Intellectual_Curiosity",0.929485370178286
"shape_Llama3_70b_zero_shot","FFM","Aesthetic_Sensitivity",0.96330031008113
"shape_Llama3_70b_zero_shot","FFM","Creative_Imagination",0.815580695866872
"shape_Mistral_7b_zero_shot","FFM","Sociability",0.736419221970782
"shape_Mistral_7b_zero_shot","FFM","Assertiveness",0.941564272873652
"shape_Mistral_7b_zero_shot","FFM","Energy_Level",0.911480192811811
"shape_Mistral_7b_zero_shot","FFM","Compassion",0.931809758254663
"shape_Mistral_7b_zero_shot","FFM","Respectfulness",0.833997997669335
"shape_Mistral_7b_zero_shot","FFM","Trust",0.899326479526082
"shape_Mistral_7b_zero_shot","FFM","Organization",0.961590335709263
"shape_Mistral_7b_zero_shot","FFM","Productiveness",0.882740679480043
"shape_Mistral_7b_zero_shot","FFM","Responsibility",0.904180964107933
"shape_Mistral_7b_zero_shot","FFM","Anxiety",0.665699352280397
"shape_Mistral_7b_zero_shot","FFM","Depression",1.00154507122087
"shape_Mistral_7b_zero_shot","FFM","Emotional_Volatility",0.764276971250369
"shape_Mistral_7b_zero_shot","FFM","Intellectual_Curiosity",0.886211330553527
"shape_Mistral_7b_zero_shot","FFM","Aesthetic_Sensitivity",0.935660749070775
"shape_Mistral_7b_zero_shot","FFM","Creative_Imagination",0.791965851829056
